Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,223854666.666667,240524723.428571,265291588.666667,292916241.142857,341973758.857143,566542872.357143,606671444,657171436.714286,695899980.428571,747971449.571429,776585681.071429,826571413.428571,880842890.071429,1093571441.5,1520900045.14286,1590428522.64286,1847871371.71429,2239857060.57143,2142128603.78571,1527852635.63158,2189347367.52632,2448290109.65,2465165179.69565,2743341724.08333,3105517091.41379,2683816288.7907,2885710608.88079,3851213727.67857,2630904261.83247,1013184745.70715,1009455483.87097,1488804123.71134,1792800000,1756454248.36601,3863185119.04762,4140470000,4308351902.78601,4389965590.96538,4635267224.84195,4855717874.68247,5107329007.0922,5323146565.70315,5224213017.54386,5322454925.84746,5795568204.64532,6321335612.22233,6763361732.88486,7423367753.47589,8496998229.39412,8298679908.55232,8758639096.47693,9774351930.71802,10532049076.9407,10982979274.1922,11880434070.7811,12756706583.3113,13286083644.8761,13785909906.1925,13025208219.7685,12611218627.0632,12621476263.8278
Nicaragua,NIC,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2669717856.2816,2869886450.58599,3182439996.26142,3528227353.56225,3940976290.6075,4316360423.3826,4458849368.37675,4769609491.54731,4833663441.72471,5135173055.10023,5204694393.41979,5376696869.66478,5496098407.85955,5848783810.71742,6678868072.01723,6668632914.12077,7016032311.38144,7603167609.54886,7007170478.46858,5151756602.07172,5389341824.23055,5678387865.5853,5632031669.44153,5891849209.25902,5799577317.43794,5562847184.41982,5506255830.3796,5467362230.37301,4786685362.56952,4703482415.91731,4701013100.77812,4692114952.86966,4710242780.37079,4691734539.88469,4848331787.25633,5134960697.98251,5460736383.59196,5677344731.33127,5888069683.28966,6302352533.49989,6560849204.51912,6755105685.27235,6806035054.40718,6977597019.11809,7348258871.45084,7662940585.32897,7981130644.07565,8386238269.96185,8674353607.33781,8388790340.54933,8758639096.47693,9311968295.69385,9916943344.43106,10405530542.4288,10903452945.9964,11426090138.4113,11947384135.7801,12500713334.997,12080226125.8337,11636367322.8691,11406278011.4822
Nicaragua,NIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1975.43112743664,1993.40699743974,2001.25059604747,1995.81055128416,2061.87206068982,2184.90388457826,2321.46041847808,2411.38301498973,2486.29619253396,2656.16639047717,2783.27772864127,2885.25422752824,2911.14585403336,2998.14020401513,3198.40329736161,3392.62168237776,3590.86385053367,3821.59640340889,3974.76581870165,3820.56836590859,3981.08672067556,4263.1966775839,4427.96477901206,4610.29898129055,4941.6997020079,5293.87046224287,5694.05428740789,6004.02858029106,5867.25695605635,5682.26022118151,5570.09987484932
Nicaragua,NIC,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3454.26764763955,3371.67858381284,3309.52433733578,3224.13909091514,3261.21900855363,3384.84140400121,3531.72704383946,3606.34230722075,3676.99335126437,3872.30656552323,3968.89293294194,4026.00183673831,3998.8775121613,4043.28903671794,4200.28312296682,4320.75032069298,4438.89605357861,4600.53606266194,4693.62809698984,4477.40950006343,4611.78569153692,4837.5370907848,5083.36301095928,5263.48483906415,5443.27808191084,5630.40573760444,5811.88305830319,6004.02858029106,5729.68822390273,5451.7078347038,5280.14058082508
Nicaragua,NIC,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14416161500.0266,14388874373.9221,14444465303.6427,14387707796.6524,14867930072.1861,15746908407.0734,16745934530.9849,17410187290.1927,18056397984.4396,19326840833.0956,20119548633.8919,20715256992.6927,20871437372.2838,21397550560.5506,22534224934.8984,23499230203.1503,24474994187.6914,25717300225.6604,26600836847.4917,25725126424.1754,26859307351.0811,28556150760.7008,30411371713.9542,31909676824.4025,33436609345.2085,35039332420.0551,36637936443.0516,38334779852.6713,37045310671.0195,35684169987.1772,34978576405.2671
Nicaragua,NIC,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8244333407.33355,8507003900.06391,8734486243.95752,8906296601.86338,9400095343.40551,10164577078.2767,11007369397.9035,11641332503.3793,12209310507.4974,13257035357.6936,14109297622.5785,14845691888.9343,15194213423.4568,15866502745.7715,17159209802.1142,18451424402.9744,19799150691.927,21362976120.4183,22526730892.4792,21951220727.9257,23186079964.2442,25165799199.6615,26490432129.383,27949762382.7127,30355546777.3138,32944994652.2256,35895147406.1907,38334779852.6713,37934761583.8963,37193251324.5242,36899427406.3326
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,449526872.565486,485785234.940376,531736492.909178,586294761.493516,582816358.347155,673383604.238783,702296184.361344,665586975.088302,641214210.668969,625867922.677513,649916708.242418,693573595.320975,742779740.393512,946385033.011918,1026136974.47536,1048690933.21027,1064517574.56042,1291457973.12517,1774365275.18226,2109278101.9887,2508524186.43352,2170893038.90053,2017611927.4037,1803099731.54257,1461243212.42814,1440581533.7564,1904097020.29333,2233005822.58534,2280356338.22867,2179567107.50159,3512356353.0798,3285796979.79737,3386232592.01834,3052673622.85839,1938058161.25116,2302537682.18029,2405687081.12795,2290318800.33457,2643363406.97664,2537790022.73535,2241753120.21267,2448714680.56221,2782192986.95772,3394084884.67098,3760443965.72976,4383315656.99096,4756361479.98873,5731485267.33492,7297600896.86099,7352131669.2941,7851191899.3408,8772951261.81807,9426913349.22319,10224897934.722,10862944203.5591,9685577941.03195,10355006770.1014,11189541083.3975,12846952856.8458,12911689659.351,13678234008.4714
Niger,NER,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2798910525.55804,2926159998.78987,3226931601.45025,3531174112.86705,3535801359.52626,3780470391.98888,3766010198.65295,3770637445.31216,3785097638.64809,3577449233.25824,3686768172.87889,3896151558.80178,3694865759.81338,3064980431.57447,3333939760.64603,3240816374.10353,3262795701.01565,3516138119.97193,3989853777.91175,4275008470.45687,4170055468.15477,4162646694.45991,4253161790.90727,4088835445.01475,3401100065.09276,3663601302.67669,3896318287.74904,3899758010.57178,4167716238.35571,4207603198.72422,4152547624.59645,4134297630.37093,4217014687.82248,4230578946.46294,4309046827.54544,4414930627.39272,4419368979.42205,4486873767.19275,4934332411.61866,4923498467.07493,4863999083.92763,5217521099.05078,5474143339.19259,5592965662.80406,5613312960.26312,6024873704.15671,6382211974.4264,6582787287.22077,7091729840.23004,7230912194.27771,7851191899.3408,8036303920.9051,8884049167.47141,9356247986.46737,9977702763.4202,10415988207.3199,11010665533.3613,11561099401.8579,12395715130.003,13127408384.9827,13324320238.3562
Niger,NER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,763.772125360474,761.267952539183,768.41920763204,763.012286944376,767.092702894398,775.198494416834,763.142428328031,760.933588661596,816.745311200429,797.658048080284,777.079347992688,821.41100107702,843.943189521231,846.471796189349,840.65698030462,896.352693822855,942.319883085811,961.246487390392,1016.56153590448,1005.3741075297,1062.68991377908,1068.24485293081,1158.66902042007,1127.34895266869,1142.51686453172,1145.5116489769,1148.4756708555,1163.68778361139,1229.80758590132,1276.29472463479,1262.60417554175
Niger,NER,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1124.92232583551,1084.55698563477,1070.35281716523,1038.22295298256,1021.95257490407,1011.54113423542,977.903694506541,958.544199870923,1017.39891269833,979.480617602206,933.346375903928,965.417211590173,976.454450224605,961.523674608959,929.884061390282,961.539888157597,981.158183921912,974.682178226183,1011.10309831936,992.410102653196,1036.90430530082,1020.99681573934,1085.54282809398,1099.43224609808,1127.61407538703,1132.33120491778,1151.65787379293,1163.68778361139,1200.97246385835,1224.51026155853,1196.87755957473
